Total Time,Rating,Votes,Notes,Date Published,Steps,Ingredients,Serving Size
About 7 hours 20 minutes,4,67,0,"Feb. 8, 2024",6,8,10 to 12 servings
18 hours,4,142,0,"Oct. 25, 2023",37,29,About 60 servings
About 1 hour 15 minutes plus chilling,4,"2,141",0,"Feb. 29, 2024",13,19,10 to 12 servings
"About 3 hours, including time to cool",4,436,0,,6,17,10 to 12 servings
"1¼ hours, plus cooling",4,826,0,,15,18,8 to 10 servings
1 hour,4,"3,518",0,,6,12,One 9-inch cake
"2 hours, plus baking/cooling",4,539,0,,12,14,8 to 10 servings
"2 hours, plus cooling",5,"1,564",0,,7,16,8 to 12 servings
"1 hour and 20 minutes, plus cooling time",4,"1,087",0,,4,11,Serves 10 to 12
30 minutes,4,478,0,,3,10,4 servings
1½ hours,4,33,0,,5,25,4 servings
20 minutes,5,"1,098",0,,2,8,4 servings
40 minutes,5,294,0,,5,17,8 servings
1 hour 40 minutes,4,306,0,,5,20,6 to 8 servings
1 hour 30 minutes,4,124,0,,2,13,Serves 12 to 16
4 hours,4,114,0,,4,14,6 generous servings
15 minutes,3,131,0,,3,5,About 9 cups (18 to 24 servings)
45 minutes,3,18,0,,3,16,4 servings (about 2 cups)
20 minutes,5,"3,029",0,,2,9,4 servings
1 hour 30 minutes,4,16,0,,4,10,24 servings plus one hour for chilling the dough.
1 hour,5,213,0,,5,6,10 servings.
